ID Chamado,TÍTULO,CATEGORIA COMPLETA,,,
4987,Maçaneta da porta,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4995,Solicito a execução de grades e a substituição de um vidro para a sala,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
4996,Solicito que seja feito um circuito independente para sala de aula do,Elétrica > Iluminação,,,
5002,Estalar suporte para os controles remotos,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
5012,Solicito a troca de um quadro branco na sala do Setor de Apoio a Infra,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
5017,"Boa Tarde, solicito o reparo de um cano que quebrou no Campus e está v",Hidrossanitária > Hidráulica,,,
5031,Verificar aparelhos de ar condicionado do datacenter,Climatização > Ar condicionado,,,
5035,"Solicito a substituição de uma bancada existente na cantina (1,79 x 0,",Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5044,Curto circuito,Elétrica > Iluminação,,,
5046,Solicito em caráter de urgência a verificação da rede elétrica das Sal,Elétrica > Instalações elétricas,,,
5049,Projeto de Rede Lógica - Cuni Porto Seguro,Elétrica > Instalações elétricas,,,
5089,Solicito a sinalização das portas de vidro da Biblioteca e Secretaria,"Estrutura Predial > Esquadrias, porta, portão e janelas",,,
5092,Forro PVC sala 2,Estrutura Predial > Forro,,,
5116,"Solicito, por gentileza, passagem do cabo de microfone pelo teto do au",Projetos e Reformas > Reforma,,,
5117,"Solicito, por gentileza, a instalação elétrica do ar condicionado da a",Climatização > Ar condicionado,,,
5125,LUZES SALA2,Elétrica > Instalações elétricas,,,
5151,Solicito o layout da sala da Protic de Infra Estrutura para ajustes na,Projetos e Reformas > Reforma,,,
5159,O ar condicionado da secad não liga.,Climatização > Ar condicionado,,,
5209,Ar condicionado com barulho anormal,Climatização > Ar condicionado,,,
5210,Reforma na Secretaria Acadêmica,Projetos e Reformas > Reforma,,,
5214,Problema nas tomadas,Elétrica > Instalações elétricas,,,
5223,Ar condicionado não liga 2,Climatização > Ar condicionado,,,
5259,Provavel infiltração,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5260,Solicitação de serviços de Manutenção CSC,Estrutura Predial > Alvenaria / Pisos / Estrutura,,,
5261,Solicitação de projeto para inclusão de tomadas Cuni Porto,Projetos e Reformas > Reforma,,,
5279,Solicito a vistoria do telhado do fundo do pavilhão de aulas pois está,"Estrutura Predial > Telhados, calhas, rufos, etc.",,,
5280,Solicito novamente a manutenção dos canos que coletam a agua dos conde,Climatização > Ar condicionado,,,
5292,Gostaríamos de solicitar a viabilidade técnica de criarmos um conexã,TI / Dados / Rede > Ponto de rede / fibra ótica / Wi-fi,,,
5311,Extensões elétricas para atendimento a SNCT,Elétrica > Instalações elétricas,,,
5314,"Solicito a limpeza da fossa do Campus Paulo Freire, pois está transbor",Manutenção Preventiva > Esgoto,,,
5350,Solicitação de Tomada,Elétrica > Instalações elétricas,,,
5376,Solicito a elaboração de projeto elétrico para interligação do novo QG,Climatização > Ar condicionado,,,
5382,"Solicito a troca do fôrro da sala do Setor de Apoio Administrativo,",Estrutura Predial > Forro,,,
5397,Troca de Quadro-Branco,"Instalação de Acessórios e Mobiliário > Instalação/Reparo de Equipamentos, Acessórios e Mobiliários",,,
2019050170,Solicito que seja investigado a causa da infiltração na parede da sala,Estrutura Predial > Infiltração,,,
5428,Ventilador parou de funcionar,Elétrica > Instalações elétricas,,,
5429,Problemas na Subestação CSC,Elétrica > Subestação,,,
