Solicito serviço de solda do portão do campo de futebol que rompeu.
"Prezados(as), boa tarde.

Solicito a verificação e resolução do problema do aparelho de ar condicionado da sala da Coordenação de compras e patrimônio, nº de tombo 2016001997. O equipamento não funciona, apresentando ""EC"" em seu painel."
"Solicito acompanhamento do gerador de 55 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito acompanhamento do gerador de 170 kVA do Campus Sosigenes Costa conforme documento em anexo.

Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA do CSC conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 155 kVA do Campus Sosigenes Costa conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 75 kVA conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
Banheiro do segundo andar estar com a descarga com defeito.
"Prezadas/os
Solicito 3 pontos de rede na Oca de Humanidades (maior) destinada ao Laboratório Interdisciplinar em Humanidades
Att"
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"BOM DIA! SOLICITO ATRAVÉS DESTE, LOGIN E SENHA DA INTERNET PARA UTILIZAR NAS MAQUINAS DE CARTÃO E NO CELULAR QUE RECEBE PEDIDO DAS MARMITAS, A REDE VISITANTE NÃO ESTÁ DISPONÍVEL E QUANDO ESTÁ FICA INSTÁVEL, GOSTARIA DO ACESSO EM OUTRA REDE.

DESDE JÁ AGRADEÇO

ATT,

JOSÉ JÚNIOR"
"Prezado,

Solicito avaliação e , se necessário, reparo na fechadura da recepção do bloco administrativo. Att

Samuel Siquara"
"Prezado,

Solicito avaliação e, se necessário, reparo na iluminação do banheiro do consultório 04 da Clínica Escola de Medicina.

Att

Samuel Siquara"
"Bom dia,
Um ar condicionado do Laboratório de Carcinologia e Biodiversidade Aquática está apresentando vazamento."
Torneira do bebedouro quebradas - bebedouro ao lado do auditório
"A maçaneta da porta da sala de Enfermagem está solta, necessitando de conserto."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Prezados,

com o retorno de atividades presenciais noturnas no CSC a parti do dia 04/04/2022, solicito o retorno do colaborador que trabalhava das 13 as 22 horas. Observamos que a possibilidade de contar com alguem na manutenção no período, pode ajudar em demandas de curtissimo prazo no período de aulas."
"Prezados, boa tarde!

Informo que está ocorrendo a infiltração nas paredes do Data Center por conta do segundo ar condicionado cuja marca Midea, causando o descascamento. Isso é muito perigoso para o ambiente do Data Center, principalmente os fungos, poeira, etc. Seguem anexas as imagens para seu conhecimento.

Saudações tecnológicas!"
Solicito instalação de ar condicionados no Núcleo Pedagógico do Campus Jorge Amado
"encontra-se na adm, na sala de pós graduação 2 lâmpadas queimadas!"
Favor verificar vazamento no pavilhão do feiras!
"Em alguns banheiro no pavilhão de feiras portas em alguns box danificadas precisando de concerto ou até mesmo ser trocadas, Por favor verificar."
"Solicito reparo no aparelho de ar condicionado da UBS Colina Verde, que caiu por rompimento do suporte."
"Solicito acompanhamento do gerador de 55 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 170 kVA do Campus Sosigenes Costa conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA do CSC conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 155 kVA do Campus Sosigenes Costa conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 75 kVA conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito que seja feito o backup das planilhas de medição dos contratos geridos pela coordenação de manutenção. Ressalto que, os arquivos gerados devem ser salvos no diretórios dos respectivos contratos no endereço F:\DINFRA\DINFRA2\4_GESTÃO DE CONTRATOS."
"Conforme solicitação do Centro de Formação em Ciências Ambientais, formliza pedido para confecção de área de ""lavagem pesada"", na área externa aos labs de Ciências CSC:

Área com revestimento cerãmico, parede e piso, com hidráulica para vasão de residuos pesados (lama, outros);

02 pias com bancada resistente - lavagem de amostras com residuos grosseiros (se possível dispor de caixa de passagem ""tipo gordura"", para posterior retirada de detritos acumulados) ;

Ponto com mangueira de pressão média;"
"Prezados,

Informo que o gerador do CSC vem apresentando problemas, segundo relatos do eletricista da equipe de manutenção, o equipamento não está sendo ativado no modo automático e há dificuldades de liga-lo mesmo no modo manual. Lembro que esse sistema cobre os ultrafreezers dos laboratórios que armazenam produtos de alto valor financeiro e podem haver perdas caso estes equimaentos fiquem muito tempo sem alimentação de energia elétrica."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Solicito manutenção preventiva/inspeção dos quadros elétrico de baixa tensão conforme arquivo em anexo. O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 02.
É OBRIGATÓRIA a entrega deste documento à UFSB, de modo a dar retorno aos serviços executados e atualização dos cadastros dos quadros elétricos."
"Prezados,

solicito instalação imediata e refletores no em torno das Ocas. Como retorno de aulas na respectiva região, percebemos que a iluminação atual não é satisfatória, deixando pontos de escuridão.
Também solicito iluminação no em torno do campo de futebol e proximo ao limite da cerca do fundo do campus."
Solicito mudança das fechaduras dos banheiros do LAB NEA para fechaduras padrão de banheiros (tranca com chave removível na parte externa e tranca com chave fixa na parte interna).
"Prezados,
Solicito avaliação e, se necessário, correção da fechadura da porta do decanato de Saúde.

Att. Samuel Siquara"
Solicito substituição de uma lâmpada de poste próximo às salas de tutoria.
"Olá, bom dia!

Gostaria de solicitar a instalação de uma tomada dupla no Laboratório Interdisciplinar 1, para ligar as estufas de secagem e esterilização.

At. te.,

Bruna Nico."
"Solicito tratamento químico de água de condensação de ar condicionado central. Este procedimento deverá acompanhar o documento em anexo ""DINFRA.CM.17 - MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO CENTRAL (CHILLER) - PMOC"", com informações sobre o sistema de refrigeração no Item 7.
Os padrões técnicos a serem alcançados após o tratamento devem estar de acordo ao que consta no ANEXO IV do documento em anexo.
Após o tratamento, a UFSB deverá ser informada do serviço com a entrega de um relatório técnico informando sobre o processo."
"Prezad@s,
Temos no laboratório interdisciplinar 2 uma autoclave que precisa ser alocada em uma superfície suspensa. Como no ato da instalação não havia tal superfície no laboratório, foram colocados alguns pedaços de madeira para suportá-la. Todavia, tal ação foi provisória de modo que se faz necessário a instalação de uma base estável, a fim de se evitar acidentes, visto que se trata de um equipamento que funciona sob alta temperatura e pressão.

Logo, solicito avaliação e instalação de uma base estável para a autoclave de 75 litros (branca) que está no laboratório interdisciplinar 2.

Cordialmente."
"Boa tarde,
Hoje fui preencher meu PIT no SIGAA, porém a informação era que o quadrimestre corrente é 2014.3.
Não havia opção para que eu alterasse.
É possível fazer essa correção?
Desde já agradeço.

Atenciosamente,
Professora Pâmela Peregrino"
"Olá!
Dois computadores da Proaf, no canto próximo a entrada da sala do Pró-Reitor, estão sem ponto de rede e sem tomadas de energia. Com o gradativo retorno dos servidores ao regime presencial, essa disponibilidade é fundamental para as atividades.
Gostaria de solicitar a instalação dos pontos de rede e de energia. Ressalto que a tubulação já está presente na parede, contudo as mesas não estão próximas as conexões."
"Conforme interação com o coordenador Simon, solicito instalação de placas indicativas do campus, da seguinte forma:

Na entrada do Campus, dos dois lados da pista indicando ""Campus Sosígenes Costa da Universidade Federal do Sul da Bahia - UFSB"";
- a 1 km da entrada, dos dois lados da pista ""Entrada do Campus Sosígenes Costa da Universidade Federal do Sul da Bahia - UFSB a 1 km"";"
"Solicito a troca do nobreak que atende o computador da seção de compras - CPF, o mesmo não esta segurando carga."
"Solicito manutenção preventiva dos equipamentos de ar condicionado conforme arquivo em anexo.
O acompanhamento dos serviços deverá ser feito de acordo ao Anexo I, página 04."
"Conforme interação com o coordenador Simon, solicito instalação de placas indicativas do campus, da seguinte forma: Na entrada do Campus, dos dois lados da pista indicando ""Campus Paulo Freire da Universidade Federal do Sul da Bahia - UFSB""; - a 1 km da entrada, dos dois lados da pista ""Entrada do Campus Paulo Freire da Universidade Federal do Sul da Bahia - UFSB a 1 km"";

Favor consultar o Memorando em anexo e para maiores informações entrar em contato com Simon."
"O supervisor do SEP - Serviço Escola de Psicologia, solicita uma cópia da chave do armário de prontuário."
"Solicito acompanhamento do gerador de 55 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 170 kVA do Campus Sosigenes Costa conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA do CSC conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 155 kVA do Campus Sosigenes Costa conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 75 kVA conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
Solicito Limpeza Geral dos equipamentos de Ar condicionados Localizados do DG do Bloco de Serviços do CSC. Essa limpeza e manutenção preventiva deve estar de acordo com o Anexo III do documento em anexo que versa sobre as tarefas semestrais que devem ser feitas nos equipamentos de Ar condicionados do tipo SPLIT.
Solicito Limpeza Geral dos equipamentos de Ar condicionados Localizados do laboratório de Genética do Laboratório de Biologia Molecular . Essa limpeza e manutenção preventiva deve estar de acordo com o Anexo III do documento em anexo que versa sobre as tarefas semestrais que devem ser feitas nos equipamentos de Ar condicionados do tipo SPLIT.
"Solicito reparo para o ar condicionado que está localizado na sala da copa do CFCAF.
Não está funcionando."
"Boa Tarde!

No pavilhão de feiras no banheiro feminino próximo onde esta ficando o pessoal do restaurante, está tendo um vazamento que esta alagando todo o banheiro. Precisando que verifique com uma certa urgência."
"Prezados(as) Senhores(as),
Conforme entendimento com o Decanato do CFCAM e Coordenação do CSC, o Grupo de pesquisa sobre Lixo marinho que coordeno passará a utilizar os seguintes espaços: 1) espaço térreo da torre do CFCAM no Pavilhão de Feiras; 2) espaço de 6 m2 do canto superior direito da antiga Coleção de Zoologia (atual sala de Almoxarifado). Neste sentido, solicito as seguintes providências:

Para a sala da torre do CFCAM (a ser utilizada pela Coleção Didático-Científica de Lixo Marinho):

Confecção e instalação de placa de identificação com o nome “Coleção Didático-Científica de Lixo Marinho”;
Instalação de bancada de mármore na parede comum à outra sala do térreo;
Instalação de balcão com portas e divisórias abaixo da bancada, o qual será utilizado para armazenamento de amostras;
Instalação de prateleiras (2 ou 3) acima da bancada.

Para o espaço do atual Almoxarifado (a ser utilizada para as atividades do Laboratório de Lixo Marinho:

Limpeza de bancada de mármore e armários;
Instalação de meia divisória de drywall a ser instalada de modo a reservar as duas pias presentes para uso do laboratório.

Me coloco à disposição para indicar os detalhes das solicitações.

Att
Leonardo Moraes
(73) 999590842"
"Bom dia
Solicito a verificação do ar condicionado da sala de reunião do último pavimento (não é a sala do CONSUNI) , assim como a disponibilização do controle do aparelho."
"Solicito recarga dos extintores.
Para o cadastro dos equipamentos, utilizar os documentos em anexo."
"Prezados, boa tarde!
Tendo em vista a finalização da obra do laboratório de biologia molecular, biotecnologia, microbiologia e parasitologia do CSC, venho solicitar a instalação de grades nas janelas e na porta principal do referido laboratório. Diversos equipamentos de elevado custo serão instalados neste espaço, o que justifica a necessidade de medidas de proteção contra arrombamentos.
Cordialmente,

Thiago Mafra"
"Solicito acompanhamento do gerador de 55 kVA do Campus Paulo Freire conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 170 kVA do Campus Sosigenes Costa conforme documento em anexo.
Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 55 kVA do CSC conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 155 kVA do Campus Sosigenes Costa conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito acompanhamento do gerador de 75 kVA conforme documento em anexo. Caso seja detectado alguma anomalia ou algum dos serviços descritos no documento não foi feito, favor informar descrever nesse chamado ou informar a Coordenação de Manutenção e a Coordenação de Campus."
"Solicito manutenção preventiva anual do ar condicionado central do CSC de acordo ao arquivo em anexo ""DINFRA.CM.17 - MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO CENTRAL (CHILLER) - PMOC"". O acompanhamento deste chamado deve ser de acordo com as atividades descritas no ANEXO III. O retorno destas atividades devem ser dados à Coordenação de Manutenção ou à Coordenação de Campus do CSC, de modo que a UFSB tenha ciência das atividades preventivas realizadas no equipamento. Caso haja alguma necessidade de material(is) para manutenção corretiva, este(s) deverá(ão) ser solicitado(s) de imediato de modo que a aquisição seja o mais rápido possível. O fechamento deste chamado está condicionado ao retorno deste documento."
"Prezados, bom dia.

Solicito reparo em aparelho de ar condicionado da UBS Ouro Verde que encontra-se com defeito."
"No Banheiro masculino no pavilhão de feiras, encontra em um dos box válvula de descarga quebrada, Precisando urgente de reparo."
"SEP-Serviço Escola de Psicologia no Centro de Formação, a porta principal está com a roldana quebrada."
"A fechadura da sala de multimídia está soltando o tempo todo.
Seria possível alguém arrumar?"
"Olá, bom dia!

Gostaria de solicitar a inspeção no duto elétrico que fica sob a bancada do laboratório interdisciplinar 2, pois o mesmo está apresentando vazamento de água. Existem três dutos sob a bancada, o que está apresentando vazamento é o duto do meio.

At. te.,

Bruna Nico."
"Prezados Colegas:

Por gentileza, solicitamos a instalação de canaletas para contenção dos cabos de rede que estão passando atrás da minha mesa, na sala da Secretaria Executiva.

Agradecimentos antecipados.

Atenciosamente,"
